unique_id,ds,cutoff,y,LightGBM,fit_time_seconds
67,2023-01-27 21:00:00,2023-01-27 15:00:00,7.004939e-10,1.9059713801998676e-10,370.8677318096161
67,2023-01-28 00:00:00,2023-01-27 15:00:00,7.650989e-09,7.3944182916569414e-09,370.8677318096161
67,2023-01-28 03:00:00,2023-01-27 15:00:00,1.0515166e-08,9.35165450931101e-09,370.8677318096161
67,2023-01-28 06:00:00,2023-01-27 15:00:00,1.126608e-08,9.834804537653212e-09,370.8677318096161
67,2023-01-28 09:00:00,2023-01-27 15:00:00,1.0535423e-08,1.0133840804302746e-08,370.8677318096161
67,2023-01-28 12:00:00,2023-01-27 15:00:00,2.1581272e-08,8.694362781852883e-09,370.8677318096161
67,2023-01-28 15:00:00,2023-01-27 15:00:00,1.45421915e-08,6.215011177199547e-09,370.8677318096161
68,2023-01-27 18:00:00,2023-01-27 15:00:00,1.7023005e-10,-4.446340741515082e-11,370.8677318096161
68,2023-01-27 21:00:00,2023-01-27 15:00:00,8.645902e-10,2.92837237763708e-10,370.8677318096161
68,2023-01-28 00:00:00,2023-01-27 15:00:00,7.219936e-09,7.453254505435305e-09,370.8677318096161
68,2023-01-28 03:00:00,2023-01-27 15:00:00,1.0358939e-08,9.326932545814642e-09,370.8677318096161
68,2023-01-28 06:00:00,2023-01-27 15:00:00,1.041135e-08,9.771500968730756e-09,370.8677318096161
68,2023-01-28 09:00:00,2023-01-27 15:00:00,8.685909e-09,9.893409212162001e-09,370.8677318096161
68,2023-01-28 12:00:00,2023-01-27 15:00:00,1.9725874e-08,8.281061396982663e-09,370.8677318096161
68,2023-01-28 15:00:00,2023-01-27 15:00:00,1.3009451e-08,5.846932103272782e-09,370.8677318096161
69,2023-01-27 18:00:00,2023-01-27 15:00:00,1.472813e-10,-1.233235922646726e-10,370.8677318096161
69,2023-01-27 21:00:00,2023-01-27 15:00:00,7.5484863e-10,3.077104397628578e-10,370.8677318096161
