pollutant,horizon,unique_id,model,MAE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,62,Informer,1.1564133375675912e-08,10.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,Theta,1.1817028503708204e-08,11.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,SeasonalNaive-56,1.2054859384875013e-08,12.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,XGBoost,1.237909864606848e-08,13.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,ETS,1.2541306607861025e-08,14.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,62,Naive,1.4891625363414392e-08,15.0,62,-25.75,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,63,NBEATS-I,8.934757274841054e-09,1.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,NBEATS-G,8.959362181818523e-09,2.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,NHITS,8.989039776422522e-09,3.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,LightGBM,9.537271202849823e-09,4.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,GRU,9.674157234069622e-09,5.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,LSTM,9.738262252237597e-09,6.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,RandomForest,1.0239495991486539e-08,7.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Informer,1.1693433007617223e-08,8.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Arima,1.1855572965950316e-08,9.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,SeasonalNaive-8,1.1855572965950316e-08,9.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,SeasonalNaive-56,1.219702215021932e-08,11.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,XGBoost,1.2401189908414558e-08,12.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Theta,1.260636330389794e-08,13.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,ETS,1.3131496907689848e-08,14.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,63,Naive,1.5506241250688507e-08,15.0,63,-25.75,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,64,NBEATS-I,9.03252596051933e-09,1.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,NBEATS-G,9.04407030296935e-09,2.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,NHITS,9.170954305192569e-09,3.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,LightGBM,9.620841790877093e-09,4.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,GRU,9.858561746511238e-09,5.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,LSTM,9.962452573164632e-09,6.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,RandomForest,1.0684056139354548e-08,7.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Arima,1.1843581924830432e-08,8.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,SeasonalNaive-8,1.1843581924830432e-08,8.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,SeasonalNaive-56,1.2385519297443046e-08,10.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Informer,1.2890897285851722e-08,11.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,ETS,1.290051679738338e-08,12.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Theta,1.3424061114189942e-08,13.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,XGBoost,1.4056983391962959e-08,14.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,64,Naive,1.7666642959319033e-08,15.0,64,-25.75,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,65,NBEATS-I,8.99609243351632e-09,1.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,NBEATS-G,9.064245834077781e-09,2.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,NHITS,9.180327538728994e-09,3.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,LightGBM,9.63516450129056e-09,4.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,GRU,9.930130960753166e-09,5.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,LSTM,1.0075188344039385e-08,6.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,RandomForest,1.0633495467762208e-08,7.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Arima,1.1741138555968859e-08,8.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,SeasonalNaive-8,1.1741138555968859e-08,8.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,ETS,1.2361005050696674e-08,10.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Theta,1.2482555682644678e-08,11.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,SeasonalNaive-56,1.2777364914104202e-08,12.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Informer,1.3114277140805997e-08,13.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,XGBoost,1.443045968111759e-08,14.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Naive,1.7314644104808527e-08,15.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,66,LightGBM,8.991705279274794e-09,1.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,NBEATS-I,9.34215301379093e-09,2.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
