pollutant,horizon,unique_id,model,sMAPE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,65,SeasonalNaive-56,0.4794705413719383,14.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,65,Naive,0.545697159123638,15.0,65,-25.75,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,66,LightGBM,0.3273383195732249,1.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,NBEATS-I,0.32745231217786325,2.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,NHITS,0.32852724353178975,3.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,NBEATS-G,0.32854949163002795,4.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,LSTM,0.34411091251834136,5.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,GRU,0.34653615414315797,6.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,RandomForest,0.37108471526961445,7.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Informer,0.3788488901100048,8.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Theta,0.3911916540526683,9.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,XGBoost,0.4048830423477339,10.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Arima,0.4076167760689872,11.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,SeasonalNaive-8,0.4076167760689872,11.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,SeasonalNaive-56,0.44335869663805544,13.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,ETS,0.45743401059649114,14.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,66,Naive,0.462805052742496,15.0,66,-25.0,-54.25,41.0,PR,Paraná,4.0,Sul
go3,14days,67,NBEATS-I,0.33572633865376494,1.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,LightGBM,0.3357390648269867,2.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,NBEATS-G,0.3365175037315552,3.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,NHITS,0.3384090854878067,4.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,LSTM,0.36016639943435586,5.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,GRU,0.36027495905938467,6.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,RandomForest,0.37875735087861256,7.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Informer,0.3982537855152543,8.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Theta,0.4030095688763081,9.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,XGBoost,0.4181669849284412,10.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Arima,0.4389612279472341,11.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,SeasonalNaive-8,0.4389612279472341,11.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,SeasonalNaive-56,0.45818190373437745,13.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,Naive,0.48605158105975976,14.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,67,ETS,0.50949850680168,15.0,67,-25.0,-53.5,41.0,PR,Paraná,4.0,Sul
go3,14days,68,NBEATS-I,0.33319145242879455,1.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,NBEATS-G,0.3336426675699707,2.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,LightGBM,0.3347242118794381,3.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,NHITS,0.3355624731324896,4.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,GRU,0.3568179989070894,5.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,LSTM,0.3599715336586512,6.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,RandomForest,0.3825321192007599,7.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Theta,0.3971692899715592,8.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Informer,0.4059710074151502,9.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,XGBoost,0.4298300823684769,10.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Arima,0.43214123889156614,11.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,SeasonalNaive-8,0.43214123889156614,11.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,SeasonalNaive-56,0.4518286064525519,13.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,ETS,0.4635679761549708,14.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,68,Naive,0.48609115757891047,15.0,68,-25.0,-52.75,41.0,PR,Paraná,4.0,Sul
go3,14days,69,NBEATS-I,0.3280799694251897,1.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,NBEATS-G,0.3283634055688509,2.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,NHITS,0.32957888991968215,3.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,LightGBM,0.3336763854626434,4.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,GRU,0.35172280060424677,5.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,LSTM,0.3564321302421571,6.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,RandomForest,0.376689602344396,7.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Theta,0.3948275698974778,8.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Informer,0.40413030969561653,9.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,XGBoost,0.4242136219742926,10.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Arima,0.4335574983266465,11.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,SeasonalNaive-8,0.4335574983266465,11.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,SeasonalNaive-56,0.4501986916584698,13.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,Naive,0.4832073504477955,14.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,69,ETS,0.4899553762231887,15.0,69,-25.0,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,70,NBEATS-I,0.34515917626850245,1.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,NBEATS-G,0.34668485913881625,2.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,NHITS,0.34807446060665254,3.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,LightGBM,0.3569407210060278,4.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,GRU,0.3729931471776405,5.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,LSTM,0.373974384807661,6.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,RandomForest,0.39400904657147545,7.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Theta,0.41795067652232726,8.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Informer,0.4324874558680619,9.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,XGBoost,0.454247699762006,10.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Arima,0.4626744495638049,11.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,SeasonalNaive-8,0.4626744495638049,11.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,SeasonalNaive-56,0.4760676064340727,13.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,ETS,0.492027106985966,14.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,70,Naive,0.5342655517860739,15.0,70,-25.0,-51.25,41.0,PR,Paraná,4.0,Sul
go3,14days,71,NBEATS-I,0.33428545756704175,1.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,NBEATS-G,0.33537461326587287,2.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,NHITS,0.3367048962482213,3.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,LightGBM,0.3545005960558826,4.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,LSTM,0.35984265342581956,5.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,GRU,0.36097806365699,6.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,RandomForest,0.37381409390907144,7.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Informer,0.4175539887329659,8.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Theta,0.4231569467496818,9.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,XGBoost,0.43255185737571655,10.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,ETS,0.46351510244763755,11.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,SeasonalNaive-56,0.4651646591180773,12.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Arima,0.4667922580333656,13.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,SeasonalNaive-8,0.4667922580333656,13.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,71,Naive,0.5302962242693019,15.0,71,-25.0,-50.5,41.0,PR,Paraná,4.0,Sul
go3,14days,72,NBEATS-I,0.31977332022487537,1.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,NHITS,0.3213513656674163,2.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,NBEATS-G,0.32208280974285824,3.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,LightGBM,0.3369717176811493,4.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,LSTM,0.34271923157257017,5.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,GRU,0.34501716559147516,6.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,RandomForest,0.3613582844512484,7.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,Informer,0.4138096903937997,8.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,Theta,0.4262705111181833,9.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,XGBoost,0.4266313220602448,10.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,SeasonalNaive-56,0.44744998794004054,11.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,Arima,0.4637716054904265,12.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,SeasonalNaive-8,0.4637716054904265,12.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,ETS,0.4871300830846203,14.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,72,Naive,0.5498311520820459,15.0,72,-25.0,-49.75,41.0,PR,Paraná,4.0,Sul
go3,14days,73,NBEATS-I,0.308198633876426,1.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,NBEATS-G,0.31024146368247424,2.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,NHITS,0.31107036257305476,3.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,LightGBM,0.3200637540291503,4.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,GRU,0.33258763068691166,5.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,LSTM,0.3345565099416647,6.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,RandomForest,0.35835410738209483,7.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,Theta,0.401254093455461,8.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
go3,14days,73,Informer,0.4233805777417408,9.0,73,-25.0,-49.0,41.0,PR,Paraná,4.0,Sul
